the ouptput of k=10		the ouptput of k=100		the ouptput of k=1000		the ouptput of k=10000


0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.14059104775558007		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.7049488832802684		0.6337557887143073		0.14059104775558007		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.6337557887143073		0.14059104775558007		0.04142264108220328
0.7049488832802684		0.04930119956321288		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.6337557887143073		0.47632613714288263		0.04142264108220328
0.7049488832802684		0.6337557887143073		0.47632613714288263		0.7049488832802684
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.14059104775558007		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
0.04142264108220328		0.04930119956321288		0.47632613714288263		0.04142264108220328
